id,abbr,name,publisher,url,rank,type,category
231,IJSEKE,International Journal of Software Engineering and Knowledge Engineering,World Scientific,http://dblp.uni-trier.de/db/journals/ijseke/index.html,C,Journal,4
232,STTT,International Journal of Software Tools for Technology Transfer,Springer,http://dblp.uni-trier.de/db/journals/sttt/,C,Journal,4
233,JLAMP,Journal of Logical and Algebraic Methods in Programming,Elsevier,https://dblp.uni-trier.de/db/journals/jlap/index.html,C,Journal,4
234,JWE,Journal of Web Engineering,Rinton Press,http://dblp.uni-trier.de/db/journals/jwe/,C,Journal,4
235,SOCA,Service Oriented Computing and Applications,Springer,http://dblp.uni-trier.de/db/journals/soca/,C,Journal,4
236,SQJ,Software Quality Journal,Springer,http://dblp.uni-trier.de/db/journals/sqj/,C,Journal,4
237,TPLP,Theory and Practice of Logic Programming,Cambridge University Press,http://dblp.uni-trier.de/db/journals/tplp/,C,Journal,4
238,PACM PL,Proceedings of the ACM on Programming Languages,ACM,https://dblp.org/db/journals/pacmpl/index.html,C,Journal,4
239,PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation,ACM,http://dblp.uni-trier.de/db/conf/pldi/,A,Conference,4
240,POPL,ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,ACM,http://dblp.uni-trier.de/db/conf/popl/,A,Conference,4
241,FSE,ACM International Conference on the Foundations of Software Engineering,ACM,http://dblp.uni-trier.de/db/conf/sigsoft/,A,Conference,4
242,SOSP,ACM Symposium on Operating Systems Principles,ACM,http://dblp.uni-trier.de/db/conf/sosp/,A,Conference,4
243,OOPSLA,"Conference on Object-Oriented Programming Systems, Languages, and Applications",ACM,http://dblp.uni-trier.de/db/conf/oopsla/,A,Conference,4
244,ASE,International Conference on Automated Software Engineering,IEEE/ ACM,http://dblp.uni-trier.de/db/conf/kbse/,A,Conference,4
245,ICSE,International Conference on Software Engineering,IEEE/ ACM,http://dblp.uni-trier.de/db/conf/icse/,A,Conference,4
246,ISSTA,International Symposium on Software Testing and Analysis,ACM,http://dblp.uni-trier.de/db/conf/issta/,A,Conference,4
247,OSDI,USENIX Symposium on Operating Systems Design and Implementation,USENIX,http://dblp.uni-trier.de/db/conf/osdi/,A,Conference,4
248,FM,International Symposium on Formal Methods,FME,http://dblp.uni-trier.de/db/conf/fm/,A,Conference,4
249,ECOOP,European Conference on Object-Oriented Programming,AITO,http://dblp.uni-trier.de/db/conf/ecoop/,B,Conference,4
250,ETAPS,European Joint Conferences on Theory and Practice of Software,Springer,http://dblp.uni-trier.de/db/conf/etaps/,B,Conference,4
251,ICPC,IEEE International Conference on Program Comprehension,IEEE,http://dblp.uni-trier.de/db/conf/iwpc/,B,Conference,4
252,RE,IEEE International Requirements Engineering Conference,IEEE,http://dblp.uni-trier.de/db/conf/re/,B,Conference,4
253,CAiSE,International Conference on Advanced Information Systems Engineering,Springer,http://dblp.uni-trier.de/db/conf/caise/,B,Conference,4
254,ICFP,ACM SIGPLAN International Conference on Function Programming,ACM,http://dblp.uni-trier.de/db/conf/icfp/,B,Conference,4
255,LCTES,"ACM SIGPLAN/SIGBED International Conference on Languages, Compilers and Tools for Embedded Systems",ACM,http://dblp.uni-trier.de/db/conf/lctrts/,B,Conference,4
256,MoDELS,ACM/IEEE International Conference on Model Driven EngineeringLanguages and Systems,IEEE/ ACM,http://dblp.uni-trier.de/db/conf/models/,B,Conference,4
257,CP,International Conference on Principles and Practice of Constraint Programming,Springer,http://dblp.uni-trier.de/db/conf/cp/,B,Conference,4
258,ICSOC,International Conference on Service Oriented Computing,Springer,http://dblp.uni-trier.de/db/conf/icsoc/,B,Conference,4
259,SANER,"IEEE International Conference on Software Analysis, Evolution, and Reengineering",IEEE,http://dblp.uni-trier.de/db/conf/wcre/,B,Conference,4
260,ICSME,International Conference on Software Maintenance and Evolution,IEEE,http://dblp.uni-trier.de/db/conf/icsm/,B,Conference,4
261,VMCAI,"International Conference on Verification, Model Checking and Abstract Interpretation",Springer,http://dblp.uni-trier.de/db/conf/vmcai/,B,Conference,4
262,ICWS,IEEE International Conference on Web Services,IEEE,http://dblp.uni-trier.de/db/conf/icws/,B,Conference,4
263,Middleware,International Middleware Conference,ACM/IFIP/ USENIX,http://dblp.uni-trier.de/db/conf/middleware/,B,Conference,4
264,SAS,International Static Analysis Symposium,Springer,http://dblp.uni-trier.de/db/conf/sas/,B,Conference,4
265,ESEM,International Symposium on Empirical Software Engineering and Measurement,IEEE/ ACM,http://dblp.uni-trier.de/db/conf/esem/,B,Conference,4
266,ISSRE,IEEE International Symposium on Software Reliability Engineering,IEEE,http://dblp.uni-trier.de/db/conf/issre/,B,Conference,4
267,HotOS,USENIX Workshop on Hot Topics in Operating Systems,USENIX,http://dblp.uni-trier.de/db/conf/hotos/,B,Conference,4
268,CC,International Conference on Compiler Construction,ACM,https://dblp.uni-trier.de/db/conf/cc/index.html,B,Conference,4
269,PEPM,ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,ACM,http://dblp.uni-trier.de/db/conf/pepm/,C,Conference,4
270,PASTE,ACMSIGPLAN-SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,ACM,http://dblp.uni-trier.de/db/conf/paste/,C,Conference,4
271,APLAS,Asian Symposium on Programming Languages and Systems,Springer,http://dblp.uni-trier.de/db/conf/aplas/,C,Conference,4
272,APSEC,Asia-Pacific Software Engineering Conference,IEEE,http://dblp.uni-trier.de/db/conf/apsec/,C,Conference,4
273,EASE,International Conference on Evaluation and Assessment in Software Engineering,ACM,http://dblp.uni-trier.de/db/conf/ease/,C,Conference,4
274,ICECCS,International Conference on Engineering of Complex Computer Systems,IEEE,http://dblp.uni-trier.de/db/conf/iceccs/,C,Conference,4
275,ICST,"IEEE International Conference on Software Testing, Verification and Validation",IEEE,http://dblp.uni-trier.de/db/conf/icst/,C,Conference,4
276,ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software,IEEE,http://dblp.uni-trier.de/db/conf/ispass/,C,Conference,4
277,SCAM,IEEE International Working Conference on Source Code Analysis and Manipulation,IEEE,http://dblp.uni-trier.de/db/conf/scam/,C,Conference,4
278,COMPSAC,International Computer Software and Applications Conference,IEEE,http://dblp.uni-trier.de/db/conf/compsac/,C,Conference,4
279,ICFEM,International Conference on Formal Engineering Methods,Springer,http://dblp.uni-trier.de/db/conf/icfem/,C,Conference,4
280,SSE,IEEE International Conference on Software Services Engineering,IEEE,http://dblp.uni-trier.de/db/conf/IEEEscc/,C,Conference,4
281,ICSSP,International Conference on Software and System Process,ACM,https://dblp.uni-trier.de/db/conf/ispw/index.html,C,Conference,4
282,SEKE,International Conference on Software Engineering and Knowledge Engineering,KSI,http://dblp.uni-trier.de/db/conf/seke/,C,Conference,4
283,QRS,"International Conference on Software Quality, Reliability and Security",IEEE,https://dblp.uni-trier.de/db/conf/qrs/,C,Conference,4
284,ICSR,International Conference on Software Reuse,Springer,http://dblp.uni-trier.de/db/conf/icsr/,C,Conference,4
285,ICWE,International Conference on Web Engineering,Springer,http://dblp.uni-trier.de/db/conf/icwe/,C,Conference,4
286,SPIN,International Symposium on Model Checking of Software,Springer,http://dblp.uni-trier.de/db/conf/spin/index.html,C,Conference,4
287,ATVA,International Symposium on Automated Technology for Verification and Analysis,Springer,http://dblp.uni-trier.de/db/conf/atva/,C,Conference,4
288,LOPSTR,International Symposium on Logic-based Program Synthesis and Transformation,Springer,http://dblp.uni-trier.de/db/conf/lopstr/,C,Conference,4
289,TASE,Theoretical Aspects of Software Engineering Conference,IEEE,http://dblp.uni-trier.de/db/conf/tase/,C,Conference,4
290,MSR,Mining Software Repositories,IEEE/ ACM,http://dblp.uni-trier.de/db/conf/msr/,C,Conference,4
291,REFSQ,Requirements Engineering: Foundation for Software Quality,Springer,http://dblp.uni-trier.de/db/conf/refsq/,C,Conference,4
292,WICSA,Working IEEE/IFIP Conference on Software Architecture,IEEE,http://dblp.uni-trier.de/db/conf/wicsa/,C,Conference,4
293,Internetware,Asia-Pacific Symposium on Internetware,ACM,https://dblp.org/db/conf/internetware/index.html,C,Conference,4
294,RV,International Conference on Runtime Verification,Springer,https://dblp.org/db/conf/rv/index.html,C,Conference,4
295,MEMOCODE,International Conference on Formal Methods and Models for Co-Design,IEEE/ ACM,https://dblp.uni-trier.de/db/conf/memocode/index.html,C,Conference,4
296,TODS,ACM Transactions on Database Systems,ACM,http://dblp.uni-trier.de/db/journals/tods/,A,Journal,5
297,TOIS,ACM Transactions on Information Systems,ACM,http://dblp.uni-trier.de/db/journals/tois/,A,Journal,5
298,TKDE,IEEE Transactions on Knowledge and Data Engineering,IEEE,http://dblp.uni-trier.de/db/journals/tkde/,A,Journal,5
299,VLDBJ,The VLDB Journal,Springer,http://dblp.uni-trier.de/db/journals/vldb/,A,Journal,5
300,TKDD,ACM Transactions on Knowledge Discovery from Data,ACM,http://dblp.uni-trier.de/db/journals/tkdd/,B,Journal,5
301,TWEB,ACM Transactions on the Web,ACM,http://dblp.uni-trier.de/db/journals/tweb/,B,Journal,5
302,AEI,Advanced Engineering Informatics,Elsevier,http://dblp.uni-trier.de/db/journals/aei/,B,Journal,5
303,DKE,Data & Knowledge Engineering,Elsevier,http://dblp.uni-trier.de/db/journals/dke/,B,Journal,5
304,DMKD,Data Mining and Knowledge Discovery,Springer,http://dblp.uni-trier.de/db/journals/datamine/,B,Journal,5
305,EJIS,European Journal of Information Systems,Springer,http://dblp.uni-trier.de/db/journals/ejis/,B,Journal,5
306,,GeoInformatica,Springer,http://dblp.uni-trier.de/db/journals/geoinformatica/,B,Journal,5
307,IPM,Information Processing and Management,Elsevier,http://dblp.uni-trier.de/db/journals/ipm/,B,Journal,5
308,,Information Sciences,Elsevier,http://dblp.uni-trier.de/db/journals/isci/,B,Journal,5
309,IS,Information Systems,Elsevier,http://dblp.uni-trier.de/db/journals/is/,B,Journal,5
310,JASIST,Journal of the Association for Information Science and Technology,Wiley,http://dblp.uni-trier.de/db/journals/jasis/,B,Journal,5
311,JWS,Journal of Web Semantics,Elsevier,http://dblp.uni-trier.de/db/journals/ws/,B,Journal,5
312,KAIS,Knowledge and Information Systems,Springer,http://dblp.uni-trier.de/db/journals/kais/,B,Journal,5
